sequence,class
"0.7857766323000426,0.3005938850139928,-1.073503439131123,-0.026208315091303024,-1.892376194683858,-2.2100099042118218,1.4259033458139354,-1.074976578285342,-0.46551614702367483,-1.0010900592674117",0
"-0.6611012522931475,-1.5769190746496131,1.2045990780996654,-1.6993986268794252,0.3176898632984079,1.5084255872319208,0.1959800698969357,-0.7042263299079969,-0.6275254934778863,0.11590731711436629",0
"-1.1706533233924084,0.0032062305449233625,-0.9143620313249501,0.04850466794740678,-0.35060676280434705,-1.8620872752148425,1.4975792083349748,0.17103915825018204,1.1663328355978422,0.47985767333066176",0
"-1.1839161086513958,0.1307981560485472,-0.5528059982664414,-0.5188210010913357,0.1587148748013709,-1.8778319465140747,-0.4153121680282892,-0.06395589208680211,-0.6439691019001148,0.10407577937497348",0
"-1.5326610070184337,1.678889666833857,1.2502686836587098,-0.5913592923884442,-0.01272531502972567,0.17955499619972393,0.5086535283849203,-0.6625691179823936,-0.04909827851212994,-0.4973567234219306",0
"-0.5528289951591473,-0.8863234203901531,-2.024328953211266,-0.8490339259602572,1.348175456240935,-1.8290857176098334,0.9225198577181722,0.43974402372653815,-0.0752288208561223,-0.11422904866029196",0
"-1.8120553401345045,-0.21862207449673313,0.09743946287371873,-0.7567875493654249,-0.47403914390359325,-0.12567400024533226,-1.5655244402030861,-0.8580324113883168,-0.2982207397252661,-1.221507451923923",0
"1.234601852858302,-1.193480082063271,-0.3707238313636252,0.14296644985874968,-0.07536026766157232,-0.007364100225839021,0.24095381082698933,-0.68863512649627,-0.12702375267488855,-0.7269906908269556",0
"0.14519592773745332,-1.4621152615754116,-2.227046098950151,-0.04994724066481525,0.3053841693461272,2.033529875928601,2.112126260584026,1.1687861063582363,-0.4180476894480224,1.3861139830022977",0
"0.3522595308270093,-0.06590241770498269,1.6705054849330556,-0.09771328526544738,0.18600732193912592,0.9985395154852162,-0.48347790743489916,0.4804619907492347,1.6615908687846215,0.5341729088301589",0
"0.06506534195450239,-0.13501780268786684,2.326135158999116,0.02473662371047456,-1.5822128370272355,-0.8745208380627147,0.8135025859437225,-0.20298356493628722,0.20201389404182687,1.1501745913349513",0
"-1.2049714129169977,0.8771378874216674,0.5156134311441626,0.13315624047885152,1.030699600143931,0.2758256932986939,0.9779705232574899,1.7612380405452237,-0.3373359680425291,-0.8446048940141863",0
"0.8006627118752144,1.4140531653357797,0.9111939989423687,0.13496573399549766,-0.0779549105680922,0.6854075418718145,-0.5819353395065924,0.4203443707328306,1.439319803087595,0.13308017437071104",0
"1.791874429338265,-0.4390091783510737,0.819871647805511,1.599280894672256,1.1373526673544159,-1.5719692933027123,2.659260418998892,-0.7457121529071886,-0.40732633528415535,-0.37627276464005155",0
"-0.7629693470306722,-0.4097382713034943,-1.176459613204012,1.2366630305711634,0.5401142868103161,1.1168741406472087,-2.147892205354737,-0.8183510122375439,0.7914339237311685,1.1883400440038645",0
"-0.8990993999828595,-0.15817475770392533,0.7585045712970078,0.49580281030042334,0.9581046674092145,-1.430264590165047,-0.5615903788078854,-0.658328297786195,-1.2164831187338294,0.5966735818968443",0
"0.2534308053444619,-0.1543600091149137,-0.2777933679866143,0.783254518989638,-0.6314201755841026,-0.14039948424098686,-1.0701768058076775,0.21008789390377988,-0.7165253235111583,0.34268483988117293",0
"-1.8892770248340351,-1.5162861829264798,0.6418202708667394,-0.2897891972549126,1.1257100022752002,0.7673914047672528,-0.6158914185937855,-0.5815616488920494,0.7830547690786931,-1.0330234516395649",0
"0.29113945675895564,0.6271135688550643,-0.30288186570703246,2.042482820934972,1.8035967127910593,0.3535959616037371,-0.3670224384947875,-0.35417445079982385,-2.7970819000537017,-0.3867867077910335",0
"-0.886475865435984,-0.7213700571683097,0.5679249509874151,-0.4559087106341696,1.9054032245654693,0.1254510989137312,-0.8386940637959855,0.36891986379866465,-0.6045989113431083,-1.7319102647105984",0
"-0.6079722094764712,-0.9774753189853544,-0.9893608635187421,0.229937774598916,2.1754955486868908,-1.161920322183696,-0.4498058023015826,0.7261060917830592,0.6750723731400651,1.004950855666077",0
"1.1807431931318197,0.7915896582009169,0.29477616317499644,-1.070510037999906,0.2587876326650591,0.14099713493637048,1.9156282542852179,1.597029022556878,0.12317548268969367,2.239371376461078",0
"-1.4600122891330536,-0.24188218033872927,0.5086749807507167,-0.5066911217614979,0.8307873734818348,-0.03319939869729305,-0.4553608807512153,1.5638542503196637,0.9890993975130055,0.11517749385815197",0
"0.2009175802399027,0.16389886607845755,-2.13463816660571,1.3554521258027443,-0.07168190844582563,-0.9208032372724003,-0.23947163760857457,-0.20552743167429086,0.4705404459888012,0.45926817939876413",0
"-0.9707464696021958,0.8618853605038976,0.41313139215375416,0.014872979252793399,0.9486261611849787,1.2526397754607062,0.4776618142545789,0.3806884102254082,1.4461271103198603,0.48482123008072087",0
"-1.2910653956658784,2.1595669228390832,-0.5568388972348827,0.4583233406672401,-1.1564424001603766,-0.42683275458536335,0.7604737788616031,-0.8810443942172583,2.30660280718337,-0.8497673578112235",0
"1.1053562877814558,0.7775980972085049,-0.7701400143125101,0.062279681624396524,1.0521038790884796,0.5016800025759214,-1.4035170967653745,-1.392581786892864,-0.5588439967137229,0.5013747647494822",0
"0.8357493714645978,0.46498718405152883,-0.2760246367132441,1.7380401487459494,-1.15757999084939,-1.2920858292072874,0.950255227977625,-0.8481894630390574,-0.6101175026627034,0.07241530089335829",0
"-1.1943943340408634,0.7764337434847036,-0.9332984296929282,0.3720242082176497,-0.7151752183287874,1.1048340748407668,0.20402623386103072,0.3583958796306359,-1.1981191987494775,0.46214771766557633",0
"-0.3099193298113683,0.6275383430475282,-0.23562044160422174,0.27096969656682945,-1.4434425711374437,-0.6509000258211401,-1.8850556746592593,0.4616247192305385,-0.12603637618752264,-0.07761399777487701",0
"-0.3337934470627162,-0.5348042551166252,-1.3613173112024044,-0.774784335288776,1.723572641080095,-0.04469489978773728,0.6119058687279002,0.21134043904188704,-0.9981031976763386,1.9059819875439437",0
"0.4043378728182542,-0.11860382338309099,0.43979283409604264,-0.24388991401173507,0.5888482324651254,-1.308913196544553,1.0331465109255267,-0.03853615647660915,-0.41553404752470074,0.4101481227524877",0
"-0.7633546522924425,-1.2025382717317579,-0.5898007735927033,1.366206629604256,-1.2611924705101163,-0.9128219926162747,-0.7117904496432945,0.48975410902490585,-0.5135329668543931,0.593853717149355",0
"-0.9401755613849475,-0.3052153235597559,-0.07330811556933793,-2.0544597058994882,-0.9881456806286133,-1.3111620771407286,0.1630433812018672,2.1547343153448235,-1.037580066900292,-0.2707815031657182",0
"-0.3825543301540432,-0.7888398072164018,-0.006007353991988601,-0.49597457032251346,-2.25253485817058,-1.0740735324820792,-0.3478738206131938,-0.7510552653684458,0.45829664386764,-1.1236026555430303",0
"2.2131616406319106,-1.3818586739994592,-0.7371947011107051,0.7211246491188437,2.16330864094314,-0.9626289431794004,-0.5713418651314999,0.2249624807007329,-0.12092620586312476,0.7697343483299066",0
"0.3623321661488528,0.3158173387282285,-0.8322426631871647,1.4966423186681608,-0.42584721048196067,0.010473894739552538,0.5027761910752208,-0.4300658195223494,-1.5145168347754463,-1.3770656876735292",0
"-0.27942657113769315,0.627491356801034,0.10532135244971784,-0.8899951717672587,-0.5929880880272337,-2.782216190969542,-0.8345283156315002,-2.119096546154551,1.1014155957026601,-0.4140538251299659",0
"0.5685394300419042,1.6055273784932835,-0.050567367376242074,-0.7160534594514276,-0.01224761738723886,1.5355876614124786,1.8231512880206844,-0.9898752613789625,-0.3563992978839624,-0.9391716749269112",0
"1.6194286752868186,-0.9207095161345078,-1.3250521863197524,-0.8085918669428682,0.6904882508813602,0.22393884085130047,-1.4515411438981587,0.5485077791702182,-1.0456723454690404,1.577106911763043",0
"0.2425218419465783,-0.13669106793623473,-1.9713438182308334,-1.8395526076233166,-1.020393695319277,1.8992124239252124,0.590757497328178,0.4571385038156925,-1.19310623052478,0.5204674065516081",0
"-1.8447678343767486,-1.4701116154839984,0.15806004774525254,0.0629353396645492,-0.6177142369562597,0.4345636728429386,-1.0019178208629738,0.5857361038668676,-2.1463918219090448,0.7756787899449633",0
"2.4242520337362765,-1.48034207573247,-0.09518228303672761,-0.4267191610620234,0.9117313286311639,-1.2167104199245844,-0.8463620619394007,0.6119991912459926,0.31888659388099616,0.9728199664760615",0
"-2.193007524468782,0.5439256985491162,0.10954783533192737,0.7771119588362094,1.1778487448690378,1.6780805439338045,-0.07025250854947587,1.36869237373767,-0.8102483107164521,0.8851500679267238",0
"1.127646145891068,-0.20176597220340434,-1.7012568069923664,-1.3362847671511102,0.7676226058402449,1.3262019954949649,0.4862734471716237,0.08451869126248591,-0.3678261158701797,0.3964744442225875",0
"-0.024553226072963463,1.5438176636578942,0.37211547144180906,0.5017825592206455,0.08394699536401776,0.14048142877718423,0.8568752022379535,-0.12954882665819373,0.3528932148144375,-1.0497530436894527",0
"1.2564732806375358,-0.07850965533358925,0.6152587767218934,-1.0156688017297308,-1.2907979696732226,-0.7087066950148151,0.42837570141577846,0.535500309889169,0.6334723174747361,1.018960835586531",0
"-0.6006899705089942,1.0527924877946035,0.30222687864314696,0.26148304389663,0.7125551074064228,0.9390135627809341,-0.35964705192622154,-0.4028126677744706,0.011340287898975013,0.981027408604541",0
"-1.0678148292132223,0.4996782459847223,-0.0039703850983789455,-0.3518431923306111,-1.3633752076755665,0.37330067848977827,-0.28054010373604343,-0.12825134739781455,-0.018837816410352263,0.2709896950296385",0
"1.1542775723884975,0.10688176668466384,1.3844090639222446,-1.583682981575887,0.14960132345165622,-2.075622979658437,-0.6741697127500172,1.1559720122981456,-0.41461562601690843,-0.08188606395954402",0
"0.46576199174453586,-0.9604638590930323,0.5482052269223218,-1.247140517351366,0.05966776425156705,-0.3265124151614856,-0.5259980651254148,0.05249007245986441,-0.05898107454287274,0.13258342649461216",0
"0.6231133966093719,-1.1269180294620618,-0.7536262289284581,-0.3151101803821643,0.06155025509856758,1.401286378492393,0.6809042813786687,0.7415185771050714,-0.057799850343749556,-0.8695531873119724",0
"-1.1063678461526434,0.6297587560480459,1.9343036508170914,-0.06042184757997537,0.4778366237443459,1.5789326520464906,0.03406354671509023,2.318769811314701,0.856172179066659,0.7684127524296553",0
"0.3890298986914963,-0.6446595151191109,1.5062042648787441,-0.4972819098087972,-0.861357107748108,0.8703834519106622,0.5245530636364071,-1.1177285772809489,-1.817771769026977,-0.5754419039851978",0
"-1.4706431213048017,0.4886123867871872,-0.4238872774749295,-2.179688683170924,0.7050480680358266,1.2931016295266364,-0.3207513321757652,-0.7591435229272064,0.3101979155742762,-0.8209325818826013",0
"-0.23874891893961758,-0.5434727401718498,-0.30206879226590666,-0.19854433350484962,2.1896773303835606,-0.45867420887649274,1.3895722940326545,0.7270458371217677,-0.28278656785250567,0.9596493167033745",0
"0.8287580888155995,0.006987168981976512,0.5007491424790323,-0.354979828990944,0.5033056721418951,0.3177412601571361,-0.7923769625567423,-0.8796577868808079,0.8391983790053579,1.269963592609844",0
"-0.21476418266692046,0.2885981532932918,0.5825114695320893,-0.025311197063337218,-1.174065222437785,0.5048162486882131,-1.162663479304117,1.768900785511258,-0.42210934165214836,0.42452037811844856",0
"-0.038709989641602646,1.519890973273866,1.4375946106908837,1.3126213628878487,-0.44831343148188807,1.3923689301848274,-0.5486783120121628,-0.9124784959672337,0.32288667796734655,-0.20014525666085906",0
"-1.5151521309651934,-0.24092133029259116,-0.8327863058820407,1.1380731521813112,0.3102999404038483,0.22341642066348014,-0.6312206121924394,0.5061260347486419,-1.308166941587662,-0.07829337866107691",0
"-0.9895033472315063,-1.1595682214369942,-0.35393888169931725,0.16297016990346896,0.3360237411639192,0.10508008036721168,-1.1281195540973008,-0.23058898117591586,-1.1140397732480525,0.32767800666655655",0
"-1.4394444369403734,-1.11711960778494,-0.48029773692143457,-0.27241556178722415,0.8975957223749156,0.20169805426131815,1.3532001785080239,-0.03909909116201425,-0.05261760873938956,0.6364914120520111",0
"0.2056013650193568,0.45121357835279063,-0.2544453033338814,-0.1621337310384129,1.1035890287754668,0.2649669570090974,0.5908292147621064,1.1577383731156354,0.25664293288460294,-0.4270003246645266",0
"0.301257356212228,-2.3270691494370253,-0.5031111229634264,0.7156600810671031,-0.5606258427433061,2.229584619340291,1.3199789740312333,-1.1338001171108874,-1.8158257960131692,0.8495132673369435",0
"-1.1213396999186285,0.5359425773602757,-2.2428490306782582,-0.6510009238154848,0.021878689153809555,0.984544759018265,0.20312103339592008,0.5227537749080858,0.39138611362380193,0.26066764145760546",0
"1.4027737456515936,1.0215397786964222,1.1424435480614845,2.667848513823849,-0.43351809876206976,-1.2481428186702948,1.593496962815903,-0.5721345572464963,-0.3959540888411418,0.06954130048068126",0
"-0.2686880587084628,2.3664739308951614,-0.5578344412833683,-0.347475768502911,-1.0123859351747828,-1.3886338951080701,-0.34609069060166425,-0.295255033312492,-0.980082315187663,-0.756705913414441",0
"-0.010236845359891767,-0.23278421032941135,-0.42170295401921054,-0.6874097267382066,-0.9011931710716456,-0.15076370020405006,0.1588895350583265,-0.5537027912348157,-0.9383013683838775,0.28393304164871314",0
"-1.121091296019299,0.25348678925290685,-1.0687904466111724,-1.0479381448457488,-0.13951405184469695,0.5734897818269625,-0.7893864971072929,-0.6269723034080837,1.2274574803180431,0.9026625006565987",0
"-0.40537904564893457,-0.8131423451371436,0.19223924446194895,1.2259773999729857,-1.7078850342080567,0.7425332193002573,-0.33269422691605105,1.2562808636637386,0.3473838881658579,-0.41534215389787843",0
"-1.513159412608156,-0.18546672833001895,0.46626158121677813,0.1766173664478613,-0.809865048377736,1.048343447849187,0.9858835232625243,-0.9118360393107565,2.094541340155096,-1.2120099180365753",0
"-0.09343045325171272,0.3919720280272529,0.646578950728734,-0.2773032591726822,-0.6120040692519861,-1.0210667053412668,-0.4280968250070194,-0.1581896577363432,-0.5815025515023695,-0.248561202267652",0
"0.8699544208151504,-0.711889350008164,-0.05855336814074981,-0.8512048082909199,0.6790308263149644,-0.35821732282871555,0.34958277788567343,1.1141798228650581,1.4160526444488266,0.08192102836475303",0
"-1.0239572981827605,-0.795468542486382,-0.6919110812250859,-1.2463989678532634,-0.4451459404880272,-1.1864527800320543,0.07926576364910708,-1.4286226528793686,0.5189548335405603,-0.6642627643693589",0
"1.9893609964423746,-0.09944078577880289,0.12676972942712095,-1.0237514665592313,-0.8625829936182067,-0.6245761099911098,1.0154693489969593,0.41652250196229273,-2.462542033654515,-0.5603281167265667",0
"-0.18889241829378886,1.4552223827429438,0.1375376191284216,-0.007783575383034206,-0.5276880542317729,-0.9304563310324954,0.19182369202319843,0.24151455471300942,0.1295399157135976,-0.29483351017280324",0
"-0.26215028297343984,-0.46443657290457036,0.41518576948564345,0.7891702017816858,-0.6638672251049661,-0.2625285132147647,-0.9966424175986062,0.3462610230855086,-0.9774586785041924,-0.09797554980402498",0
"-0.35943300044623644,0.46667393542567104,2.0960834150382865,-1.9996643717136933,-0.3517897717961733,-0.17746405706994434,0.8931767800005456,-0.3410632978875695,1.0768884342558387,0.7067537674615786",0
"-0.1303506078728354,-0.04905900398453585,-0.16293436425661123,-0.7754099625062593,0.22452645056580348,1.0604373277061758,0.12767630784533848,1.073077780626097,0.3884268709096859,2.329277432690598",0
"-1.5127537719237416,0.7441046574384308,-1.2425386366646554,-0.7192074148307696,-0.041581299375817726,0.35620305265957247,-0.20328719636922893,0.45669690739809155,-0.4294572505834405,-2.09087927973326",0
"0.23071481493455293,0.15463069461264572,-0.4637213717832407,-1.1399048538492946,0.5404333545817505,0.03469992684861779,1.2024425883328111,2.42360933543084,-0.31723893601227243,0.9746747906796185",0
"0.40928165900517277,0.5528929078512554,1.2890790537863417,0.3883107451443202,-0.23844969026910706,-0.6837012183776194,0.6033162740627669,-0.6877540151765276,0.45105464925467964,-0.0970705405157475",0
"-0.6850418810275163,0.2553486119678039,-0.2354320260950667,-0.5938567463003172,0.07482730421324194,0.2234425033932528,-1.1686940266632604,-3.014689334958535,1.0452855804882186,0.8473409157510323",0
"1.4381806732595157,-0.16455291677461933,-1.1007574885606022,-0.4135435916239532,-0.752869689419292,0.8068357687578808,0.7808257033189809,-1.700091346111266,-1.0883609278716981,0.15068821500433188",0
"-1.1305511624194138,-0.2591718450479024,0.40326008373201866,-0.3802376029877162,-0.5432917717861432,0.5295382685673304,1.1474261975720441,-0.8071175302033632,-0.5735733113923787,0.7714235596233451",0
"-1.9103863219651704,0.22686274143654267,0.024089783382712338,-1.025707611952882,-1.0887848095159451,0.7299364281197681,-1.0953086028878614,0.5448755902395335,-0.4739010059025769,0.15029191875344547",0
"-1.137145755282412,1.1657210741319992,0.9078777066356198,-1.0443078927816682,-0.10067628839353729,0.7831047289331015,0.9115516829571256,-0.1534963529611583,0.9635514321415013,-0.5253040951783067",0
"0.5961309107875121,0.9267794401152907,0.9843712506706523,-1.981004758286901,-0.5698759226697437,0.18588635043456475,-0.35601341587102303,0.48138895648311525,-0.33838582132322564,0.5918382609116541",0
"-2.0319256456508703,1.067037049190109,0.49084262008421675,-0.39407153377559995,1.2187429897643487,-1.4702737609738756,-1.4511020705413202,0.20128213945150608,0.570820880350185,-0.6932376227771285",0
"-2.018395510796804,-0.0742002831969778,0.5019464103459736,0.09774242537965902,0.8258264628171971,1.5438638844376662,-0.5212722707495621,-1.4883263072318929,0.3029374173901268,0.7423788245888963",0
"-0.1685970171977672,1.498506639122723,1.6705938659329702,-2.2264292776098755,1.7747303719842145,-0.8408059621865874,0.8168292006722321,0.08075878108536162,0.5796499506342276,0.20353352126376148",0
"-0.24482822417353683,0.6842460992644894,-0.4887310264816613,-0.30463779798830776,-0.46259140866271486,-0.352904721076823,1.5932412407283616,-1.0427650881908828,1.535929753861008,0.8696438291188101",0
"-0.04297445850033153,-0.23645989341275733,1.2188037597960166,-0.305475927331501,0.18151790609493265,-0.4461118391582463,-0.5348506459747164,0.8364354144738991,-0.7725080509911807,-0.15732534376742163",0
"0.20578721946834275,-1.8008598678490066,-0.06880101832348416,0.2613979647830979,0.0888925407747999,-0.31558752720141897,-0.6365112170680314,-3.0473779725460486,1.7475808625225446,0.47598900924240045",0
"0.37527143460063067,0.26168257634213615,-1.7057751694951973,0.2642043552016202,0.6274777840954384,0.5626312593264492,0.28987745200837367,-0.6533389866733217,1.168032250800321,1.2571005334495269",0
"1.0428836120572083,-1.286354804992675,0.8296654937916647,-0.7229779556721145,1.4881812858765284,0.6845523297498038,-0.6902784480137095,0.6905057329867492,-0.20799936180650996,0.21813451890707805",0
"0.20557939070734396,0.8928472286602926,0.6743445052945624,-2.002366953149693,2.5019786482722046,0.2552793694355359,-0.12605281207289698,-0.024366678239895107,1.5962690706003015,0.21105412891951822",0
"0.6809268561879073,-0.7528297284178259,1.8130072183306325,0.3427452882915924,-0.836614568389426,0.2415532476985609,0.253279451280516,-0.8784477903324496,-2.19921058168386,0.5919960089551045",0
"-0.007834107231685292,0.47914459960777095,-1.478030477412751,1.3974561316869285,-0.392899453760619,-0.8471473481798321,3.0040596250112563,-0.9389466924407609,-0.045886313379870924,-0.9000912321170862",0
"0.39805727035657584,-0.6192256927771126,0.7456087309015192,-0.7012769983109276,-1.3778044601795791,-1.9437481053373378,0.19519684241230068,-0.06577519529443743,-0.2956073027838744,-0.8853829793353448",0
"1.023307274054429,1.2135457023632172,-0.7747748223808774,-0.9187103660402087,0.5893059700478565,-0.20216822966181597,0.3699103344661857,0.6277007879339446,-0.5186519921173948,-0.23097584807785365",0
"0.3852076136411418,0.6920377035006158,-0.4571880030589029,-0.3145759142654072,1.5670308278549254,0.07260035797755698,-0.07441455294673295,1.5088286005748057,0.5288467876870016,-0.3991878792966331",0
"0.11573743773221495,-0.40510961177146554,1.7420814517345684,0.3423639657554797,-1.7637918176468184,-0.027618777368724572,0.18218976635901146,-0.31867678312348574,1.5902005090441562,-1.3282636409593356",0
"-2.625953458624226,-0.6895779737227994,-1.346625773747128,0.5733250102617192,1.3161635251808086,0.913282175195626,-0.1920418255385794,2.225877088692109,-0.0050174250634010716,-1.541688770606331",0
"0.9463348615491589,-1.6419024277177645,-1.2157411428290337,0.14294751439582154,-0.16566261774359292,0.7847823840032414,-1.289859920114686,-0.501913446631166,0.6256818602311385,-2.1870133957807427",0
"-1.239232037391529,0.7565210005018771,-1.4954471672744838,1.0693979540701926,-0.11331792845773454,-0.09561094204268149,-0.4542236159810291,-0.5089479731411214,0.9317394670026419,-0.7371197472174168",0
"0.4490584610628248,-2.3828575170606974,1.6042058170850038,-0.24069849744404914,-1.4568972521760148,0.2672318020308043,-0.176521592323257,-2.4979505061747918,1.502044799362048,-2.0125825686390435",0
"0.6050337929109004,-0.4207654502258258,0.9554398179036542,-2.048110249371869,1.7945900500434335,0.2723501002403209,0.28210691833126206,-0.6949144427347157,0.9028373826746696,0.02948984178681659",0
"-0.03251192351764061,-0.725083611368884,-0.6744369154575985,0.6273933778018006,0.21576521044408978,-0.06776583674421685,0.9584327026525071,1.0460408175028897,1.319563196600734,0.17377010087476974",0
"-0.6673691279585005,-0.12950668697436837,1.194438068564497,0.16031803678687517,0.07333407549034099,-0.3242275259074515,0.19082099245018688,-0.017757338957325033,0.3849789182065112,-0.0430296955117252",0
"0.11930597530414239,2.229224768275423,-2.2566826840618326,1.1294653815664328,-0.35014407012381626,-0.05568273038216038,1.091305878785178,0.09879145848678057,0.735307261378736,0.4305508017308325",0
"0.9168609572343138,-0.19606650126718259,-1.2890396480364552,2.6423107925273226,0.20172845788115568,-0.6999583267746019,-1.7097609740127506,0.4077853081591731,-0.7000048458316004,-0.601237506397303",0
"-1.4196341245966153,-0.43196133354946975,-0.18122276975903626,0.4165489201182648,0.21237274161258626,0.35653763299784896,-0.492769591097405,0.9884094115586883,0.3753416520804787,-0.0868996368518656",0
"0.9854240503036126,0.24516583610155784,0.2495466361015483,-1.376933388106804,0.8773592641796519,-0.5490797539688684,2.0413526881795527,-0.4965801551743138,0.11899966180333912,0.297518997936469",0
"-2.0744929541748087,0.07005765832887367,-0.14663672873214645,-0.1757981929833533,-0.20875797531195464,-2.0430899179932465,-0.956590279520572,-2.442628555255188,-0.6637971309087152,0.9189249594806688",0
"1.0955279604478045,-0.15282445461077376,0.3974732760009755,1.4441062270863547,0.4958877006738781,0.1292739255906847,0.0398079073072261,1.4120080635168173,-0.6745854071228097,0.986000766798976",0
"-0.7144219410159312,-1.3278667864267064,-0.38400739546180046,-2.3284033103485684,1.0103190097056973,-0.3368574980837633,0.3188009701233205,-0.35326421599837354,-0.7795735879609798,-0.36879162797886733",0
"-0.35952164884489685,-0.5748256374863268,-0.16987652886629656,0.04420867677194326,0.607272309946744,0.6258769658874114,0.09554418389004665,0.2517176477545533,0.3246409097508984,0.4767137113603993",0
"1.1161233732358982,0.762060931828444,0.03428329236958489,-2.8103521493478505,-0.6741589065406376,0.8475293437079172,0.9587565979891303,-0.18644060653379407,0.18889367161013093,0.33810007562166766",0
"0.5278752284783503,-0.8339446681957622,-0.8309811980977181,-0.6763317574934092,-1.716391826963609,-0.2904828288691502,1.1866565530394637,0.3311687633859577,-1.0702314674159668,-0.24227503794241004",0
"-0.22281147052007597,-0.4824302595489843,0.0894165814476773,-1.259711049570253,0.5848324601013187,-0.3315414003835689,-0.9947652722380068,-1.5779895457774482,-0.1384576651469437,0.19075161024568574",0
"-0.6259506088955658,-0.3954427705416131,1.0582840966693523,-1.1182946629697952,0.24645026135979956,-1.2426247754631494,-0.2138277365270161,0.22293350739014145,0.5691585228138771,-0.32673625076905227",0
"-1.6859699540187214,-1.5488302730427745,-0.3518455254884413,-0.00026171766808241975,-0.9588359840833574,2.280474228058203,-1.0493687894284793,0.7063261981624214,-1.316480581143941,-1.6627696478848548",0
"-0.136936021695778,-1.6273390704458512,1.1507036521945515,0.019255159690119563,-1.5926029552679828,-0.0632654655451615,2.372426087685824,0.8411626201788117,-0.4542444453518926,0.15755254917974187",0
"-1.0823145608347937,0.44396994351259383,-0.9250431692971478,1.4840514735372514,0.44782620380162047,-1.188364782890757,1.2505707359041238,-0.5146495798238697,-0.23031293420775226,-0.6844817051381408",0
"-0.5285476423383362,0.13555524409207076,-0.3586609300075805,0.29085191300583274,0.9961271026053714,1.073357605194561,-0.017182862368505396,1.2222030592742272,-1.7622716912457337,-0.616008327410922",0
"-0.1640829883574361,-0.7125198808510332,0.6103181265900097,-0.25057553059328325,-1.9393877800805341,-1.7030313250876532,-1.766343819474616,-0.47167117969099165,-1.1948189249213743,-2.347506967058455",0
"1.3124740081841022,0.12895620075333622,-1.1185356609746206,-0.28192790292994674,-0.26206114057030544,2.0599030843994894,-1.8037856515027404,0.3107683291206014,-1.6100843812575112,-0.27597545689534936",0
"-0.9555993561834624,-0.1413670121188512,0.8648137957517765,-0.5210987699233889,-0.5392959842224231,0.8533547279503274,1.069638501573559,-1.404090140915558,1.1012528808399242,0.6047542090452861",0
"-0.8548631988607753,-0.9217010096414718,0.4749062418170703,0.2146579188660026,0.594553964678265,1.325511780683116,0.2669513277193823,-0.5449498280108486,1.0724330474066017,-1.062316376021555",0
"-1.4066390221690215,-0.4721174514437106,1.601249014096828,-0.7438301369309221,0.03932011921388595,0.5579322018973618,1.255505015944337,0.52425263029592,0.6407481064499033,-0.5915057855586595",0
"-2.2144166463738717,3.285469850339317,0.8961729781168819,0.4881460227212008,-0.2556473206834042,-1.9794989631770425,-0.26005144482688947,-0.43285837618702755,1.884243322148164,0.16718032530276916",0
"-0.9727864275543724,0.6941945729540314,0.7851928649291049,0.6217729667450679,0.5502450227609009,-0.7841990089638431,-0.9003128410718179,1.1486643215868544,-0.31460824167083323,-1.820940302481648",0
"-2.0812337865665893,1.8570955911724454,-0.35252152611094445,1.6850275568610598,-1.4790986372114618,-0.8291035733212976,0.5268818829216727,0.18877453775111674,1.0640152335533004,-2.1090890435745355",0
"-1.7126617586145767,-1.7877222460106839,1.488209606487022,-0.5571921155876858,-0.027846147362459252,-0.8040686658762665,0.40814944744503384,-1.2057568245541974,-0.4131590231849264,-1.0973685276516307",0
"-0.3567672101003006,-0.8348440323367201,-0.36721844862710634,-1.260472345107475,-0.18112175408210454,-1.8093945824001092,0.032570857705325675,0.3329972026389001,-0.47817661473074846,1.5282290619341692",0
"0.9690367839374644,-0.04295888704700877,0.8907989025594049,-0.5674054877758135,-0.5647678117772053,0.46046637937248375,-0.228731521367601,-0.8487070289703027,-0.6115272836358036,-0.40043265519622245",0
"0.8462758089574198,0.299527712698455,0.16936501806828222,-0.13600901231954057,-0.007937787044536366,-0.49724360165116493,1.3994564358918766,-0.5505735067658437,-1.9981737684961927,0.6651507559343535",0
"0.9117608086721027,0.43170156322492154,0.5946298931522161,0.11905577786136534,-0.10869324371021659,0.8780915130030768,-0.40970555563143024,-0.8661112667551208,0.4233031964709222,0.16572489756239592",0
"1.280287306069595,-2.842353089930996,-1.1674590569948489,-0.9017431424966258,1.3301782796122814,0.36103943617206585,-0.36383595223337384,0.6545063890754022,-1.0320012182049165,-0.5402109465743131",0
"2.620796985374632,-0.4864385995885008,0.1809439832102317,-0.9335981334251768,-0.7258983184732204,0.9366695428675627,0.5448231633187615,-1.107635916100545,1.9653720334338651,0.0829990357910129",0
"0.4698661204222923,0.08879979495098485,-0.9775293786597695,1.4449273334728885,0.9568436160402587,0.7683273911001288,-0.2510932396617583,0.7269460560055148,0.8347699479927152,-0.09131270892539053",0
"-0.7931131838771732,0.46157410497328394,1.123639413978073,-2.3083390876071435,0.1511103605776425,0.8757565763042314,-0.8187314217161181,0.07972598833118565,0.6707288816738497,-3.0271327988432377",0
"-1.1647346133056329,-1.1649770395650876,0.6094451394952577,-0.05552927216272204,-0.1949744598613014,-0.967587421864062,0.8864993250601493,-0.87080686627253,0.5338639808543402,0.46263642950298434",0
